NetFx4ServerFeatures                                        | Enabled                      
WAS-ConfigurationAPI                                        | Disabled                     
IIS-HostableWebCore                                         | Disabled                     
MSMQ                                                        | Disabled                     
MSMQ-Services                                               | Disabled                     
MSMQ-Server                                                 | Disabled                     
MSMQ-Triggers                                               | Disabled                     
MSMQ-ADIntegration                                          | Disabled                     
MSMQ-HTTP                                                   | Disabled                     
MSMQ-Multicast                                              | Disabled                     
MSMQ-DCOMProxy                                              | Disabled                     
MSMQ-RoutingServer                                          | Disabled                     
WCF-Services45                                              | Enabled                      
WCF-HTTP-Activation45                                       | Disabled                     
WCF-TCP-Activation45                                        | Disabled                     
WCF-Pipe-Activation45                                       | Disabled                     
WCF-MSMQ-Activation45                                       | Disabled                     
WCF-TCP-PortSharing45                                       | Enabled                      
IdentityServer-SecurityTokenService                         | Disabled                     
ManagementOdata                                             | Disabled                     
DSC-Service                                                 | Disabled                     
ADCertificateServicesRole                                   | Disabled                     
CertificateServices                                         | Disabled                     
OnlineRevocationServices                                    | Disabled                     
WebEnrollmentServices                                       | Disabled                     
NetworkDeviceEnrollmentServices                             | Disabled                     
CertificateEnrollmentPolicyServer                           | Disabled                     
CertificateEnrollmentServer                                 | Disabled                     
IPAMServerFeature                                           | Disabled                     
DeviceHealthAttestationService                              | Disabled                     
BITSExtensions-AdminPack                                    | Disabled                     
Gateway-UI                                                  | Disabled                     
BITSExtensions-Upload                                       | Disabled                     
WCF-HTTP-Activation                                         | Disabled                     
WCF-NonHTTP-Activation                                      | Disabled                     
Smtpsvc-Admin-Update-Name                                   | Disabled                     
Smtpsvc-Service-Update-Name                                 | Disabled                     
WebAccess                                                   | Disabled                     
Microsoft-Windows-Web-Services-for-Management-IIS-Extension | Disabled                     
BusScan-ScanServer                                          | Disabled                     
Printing-InternetPrinting-Server                            | Disabled                     
RPC-HTTP_Proxy                                              | Disabled                     
Gateway                                                     | Disabled                     
UpdateServices                                              | Disabled                     
UpdateServices-Services                                     | Disabled                     
UpdateServices-Database                                     | Disabled                     
UpdateServices-WidDatabase                                  | Disabled                     
WorkFolders-Server                                          | Disabled                     
FSRM-Infrastructure                                         | Disabled                     
Microsoft-Windows-FCI-Client-Package                        | Disabled                     
UpdateServices-RSAT                                         | Disabled                     
UpdateServices-API                                          | Disabled                     
UpdateServices-UI                                           | Disabled                     
FSRM-Infrastructure-Services                                | Disabled                     
DirectoryServices-ADAM                                      | Disabled                     
IPAMClientFeature                                           | Disabled                     
Microsoft-Windows-ServerEssentials-ServerSetup              | Disabled                     
AuthManager                                                 | Disabled                     
ServerCore-WOW64                                            | Enabled                      
Printing-Server-Foundation-Features                         | Disabled                     
Printing-Server-Role                                        | Disabled                     
Printing-LPDPrintService                                    | Disabled                     
Printing-Client                                             | Enabled                      
Printing-Client-Gui                                         | Enabled                      
ServerCore-EA-IME-WOW64                                     | Enabled                      
NetFx3ServerFeatures                                        | Disabled                     
NetFx3                                                      | Disabled with Payload Removed
Server-Shell                                                | Enabled                      
Internet-Explorer-Optional-amd64                            | Enabled                      
Server-Gui-Mgmt                                             | Enabled                      
Server-Gui-Mgmt_onecore                                     | Disabled                     
RSAT                                                        | Enabled                      
Storage-Replica-AdminPack                                   | Disabled                     
Server-Manager-RSAT-File-Services                           | Disabled                     
Server-RSAT-SNMP                                            | Disabled                     
DNS-Server-Tools                                            | Disabled                     
WINS-Server-Tools                                           | Disabled                     
DfsMgmt                                                     | Disabled                     
ADCertificateServicesManagementTools                        | Disabled                     
CertificateServicesManagementTools                          | Disabled                     
OnlineRevocationServicesManagementTools                     | Disabled                     
RSAT-AD-Tools-Feature                                       | Disabled                     
RSAT-ADDS-Tools-Feature                                     | Disabled                     
DirectoryServices-DomainController-Tools                    | Disabled                     
DirectoryServices-ADAM-Tools                                | Disabled                     
BitLocker-RemoteAdminTool                                   | Disabled                     
BdeAducExtTool                                              | Disabled                     
NPSMMC                                                      | Disabled                     
Licensing-UI                                                | Disabled                     
Licensing-Diagnosis-UI                                      | Disabled                     
Microsoft-Windows-Deployment-Services-Admin-Pack            | Disabled                     
DHCPServer-Tools                                            | Disabled                     
FailoverCluster-Mgmt                                        | Disabled                     
NetworkLoadBalancingManagementClient                        | Disabled                     
NFS-Administration                                          | Disabled                     
WindowsServerBackupSnapin                                   | Enabled                      
FaxServiceConfigRole                                        | Disabled                     
NPSManagementTools                                          | Disabled                     
RightsManagementServicesManagementTools                     | Disabled                     
Security-SPP-Vmw                                            | Disabled                     
FSRM-Management                                             | Disabled                     
Windows-Defender-Gui                                        | Enabled                      
Microsoft-Hyper-V                                           | Disabled                     
Microsoft-Hyper-V-Offline                                   | Disabled                     
Microsoft-Hyper-V-Online                                    | Disabled                     
RSAT-Hyper-V-Tools-Feature                                  | Disabled                     
Microsoft-Hyper-V-Management-Clients                        | Disabled                     
Microsoft-Hyper-V-Management-PowerShell                     | Disabled                     
VmHostAgent                                                 | Disabled                     
AppServer                                                   | Disabled                     
Microsoft-Windows-Deployment-Services                       | Disabled                     
Microsoft-Windows-Deployment-Services-Deployment-Server     | Disabled                     
Microsoft-Windows-Deployment-Services-Transport-Server      | Disabled                     
BitLocker                                                   | Disabled                     
Bitlocker-Utilities                                         | Disabled                     
ShieldedVMToolsAdminPack                                    | Disabled                     
BitLocker-NetworkUnlock                                     | Disabled                     
SearchEngine-Server-Package                                 | Disabled                     
File-Services-Search-Service                                | Disabled                     
FaxServiceRole                                              | Disabled                     
NPAS-Role                                                   | Disabled                     
OEM-Appliance-OOBE                                          | Disabled                     
ServerMediaFoundation                                       | Disabled                     
MediaPlayback                                               | Enabled                      
WindowsMediaPlayer                                          | Enabled                      
WebDAV-Redirector                                           | Disabled                     
LegacyComponents                                            | Disabled                     
DirectPlay                                                  | Disabled                     
Printing-LPRPortMonitor                                     | Disabled                     
Printing-InternetPrinting-Client                            | Disabled                     
Printing-AdminTools-Collection                              | Disabled                     
Windows-Identity-Foundation                                 | Disabled                     
Microsoft-Hyper-V-Common-Drivers-Package                    | Enabled                      
Microsoft-Hyper-V-Guest-Integration-Drivers-Package         | Enabled                      
Microsoft-Windows-NetFx-VCRedist-Package                    | Enabled                      
Microsoft-Windows-Printing-PrintToPDFServices-Package       | Enabled                      
Microsoft-Windows-Printing-XPSServices-Package              | Enabled                      
Microsoft-Windows-Client-EmbeddedExp-Package                | Enabled                      
Printing-PrintToPDFServices-Features                        | Enabled                      
Printing-XPSServices-Features                               | Enabled                      
MSRDC-Infrastructure                                        | Disabled                     
TelnetClient                                                | Disabled                     
TFTP                                                        | Disabled                     
TIFFIFilter                                                 | Disabled                     
SMB1Protocol                                                | Enabled                      
MultiPoint-Connector                                        | Disabled                     
MultiPoint-Connector-Services                               | Disabled                     
MultiPoint-Tools                                            | Disabled                     
ServerManager-Core-RSAT                                     | Disabled                     
ServerManager-Core-RSAT-Role-Tools                          | Disabled                     
ServerManager-Core-RSAT-Feature-Tools                       | Disabled                     
FailoverCluster-AdminPak                                    | Disabled                     
FailoverCluster-PowerShell                                  | Disabled                     
HardenedFabricEncryptionTask                                | Disabled                     
ServicesForNFS-ServerAndClient                              | Disabled                     
ServerForNFS-Infrastructure                                 | Disabled                     
ClientForNFS-Infrastructure                                 | Disabled                     
SimpleTCP                                                   | Disabled                     
SmbDirect                                                   | Enabled                      
Windows-Defender-Features                                   | Enabled                      
Windows-Defender                                            | Enabled                      
EnhancedStorage                                             | Disabled                     
Microsoft-Windows-GroupPolicy-ServerAdminTools-Update       | Disabled                     
RSAT-RDS-Tools-Feature                                      | Disabled                     
BiometricFramework                                          | Disabled                     
WindowsServerBackup                                         | Disabled                     
DFSR-Infrastructure-ServerEdition                           | Disabled                     
DNS-Server-Full-Role                                        | Disabled                     
Windows-Internal-Database                                   | Disabled                     
iSCSITargetStorageProviders                                 | Disabled                     
BITS                                                        | Disabled                     
LightweightServer                                           | Disabled                     
MultipathIo                                                 | Disabled                     
NetworkLoadBalancingFullServer                              | Disabled                     
Containers                                                  | Disabled                     
PeerDist                                                    | Disabled                     
RemoteAssistance                                            | Disabled                     
ServerCore-EA-IME                                           | Enabled                      
DataCenterBridging                                          | Disabled                     
DiskIo-QoS                                                  | Disabled                     
Server-Drivers-General                                      | Enabled                      
Server-Drivers-Printers                                     | Enabled                      
SNMP                                                        | Disabled                     
WMISnmpProvider                                             | Disabled                     
WindowsStorageManagementService                             | Disabled                     
Remote-Desktop-Services                                     | Disabled                     
SessionDirectory                                            | Disabled                     
SBMgr-UI                                                    | Disabled                     
VolumeActivation-Full-Role                                  | Disabled                     
WirelessNetworking                                          | Disabled                     
Xps-Foundation-Xps-Viewer                                   | Disabled                     
SMBBW                                                       | Disabled                     
SetupAndBootEventCollection                                 | Disabled                     
RasCMAK                                                     | Disabled                     
DFSN-Server                                                 | Disabled                     
DHCPServer                                                  | Disabled                     
FailoverCluster-AutomationServer                            | Disabled                     
FailoverCluster-CmdInterface                                | Disabled                     
FRS-Infrastructure                                          | Disabled                     
FileServerVSSAgent                                          | Disabled                     
WINSRuntime                                                 | Disabled                     
iSCSITargetServer                                           | Disabled                     
iSNS_Service                                                | Disabled                     
P2P-PnrpOnly                                                | Disabled                     
QWAVE                                                       | Disabled                     
ServerMigration                                             | Disabled                     
SMBHashGeneration                                           | Disabled                     
Licensing                                                   | Disabled                     
FailoverCluster-FullServer                                  | Disabled                     
CCFFilter                                                   | Disabled                     
Dedup-Core                                                  | Disabled                     
MultiPoint-Role                                             | Disabled                     
ResumeKeyFilter                                             | Disabled                     
SmbWitness                                                  | Disabled                     
FabricShieldedTools                                         | Disabled                     
RasRip                                                      | Disabled                     
SearchEngine-Client-Package                                 | Enabled                      
Client-DeviceLockdown                                       | Disabled                     
Client-EmbeddedShellLauncher                                | Disabled                     
Client-EmbeddedBootExp                                      | Disabled                     
Client-EmbeddedLogon                                        | Disabled                     
Client-KeyboardFilter                                       | Disabled                     
Client-UnifiedWriteFilter                                   | Disabled                     
FileAndStorage-Services                                     | Enabled                      
Storage-Services                                            | Enabled                      
File-Services                                               | Enabled                      
CoreFileServer                                              | Enabled                      
ServerCore-Drivers-General                                  | Enabled                      
ServerCore-Drivers-General-WOW64                            | Enabled
